user_id,user_name,subscription_tier,avg_daily_activities,registration_date
user_1,User 1,free,49,2025-11-20
user_2,User 2,premium,169,2026-03-19
user_3,User 3,free,87,2025-12-13
user_4,User 4,free,32,2026-04-07
user_5,User 5,free,92,2026-04-11
user_6,User 6,free,96,2025-11-16
user_7,User 7,free,51,2025-12-06
user_8,User 8,free,40,2026-01-12
user_9,User 9,free,55,2026-03-31
user_10,User 10,premium,162,2025-12-07
user_11,User 11,free,99,2026-04-01
user_12,User 12,premium,188,2026-04-02
user_13,User 13,premium,135,2026-02-08
user_14,User 14,vip,447,2026-03-19
user_15,User 15,premium,171,2026-02-16
user_16,User 16,premium,165,2026-03-21
user_17,User 17,free,62,2026-01-16
user_18,User 18,premium,180,2026-02-14
user_19,User 19,free,89,2026-02-05
user_20,User 20,free,42,2026-04-17
user_21,User 21,free,59,2026-04-10
user_22,User 22,free,85,2026-02-22
user_23,User 23,free,71,2025-12-22
user_24,User 24,free,97,2025-11-23
user_25,User 25,free,40,2025-11-24
user_26,User 26,premium,193,2026-02-13
user_27,User 27,free,100,2025-11-30
user_28,User 28,free,65,2025-12-16
user_29,User 29,free,63,2026-04-18
user_30,User 30,free,39,2026-03-19
user_31,User 31,free,68,2025-12-01
user_32,User 32,premium,159,2026-04-07
user_33,User 33,premium,199,2026-01-12
user_34,User 34,free,41,2025-11-09
user_35,User 35,free,88,2025-12-08
user_36,User 36,premium,135,2025-10-26
user_37,User 37,free,82,2026-01-16
user_38,User 38,free,56,2025-11-19
user_39,User 39,free,99,2026-01-05
user_40,User 40,premium,196,2025-12-10
user_41,User 41,premium,198,2025-11-20
user_42,User 42,free,85,2026-01-24
user_43,User 43,premium,187,2026-03-11
user_44,User 44,premium,151,2026-04-20
user_45,User 45,premium,145,2025-11-19
user_46,User 46,free,42,2026-04-22
user_47,User 47,free,42,2026-02-17
user_48,User 48,free,57,2025-12-13
user_49,User 49,free,46,2026-01-27
user_50,User 50,free,96,2025-11-29
user_51,User 51,free,47,2025-12-16
user_52,User 52,free,41,2025-10-29
user_53,User 53,free,65,2026-03-16
user_54,User 54,free,31,2026-03-10
user_55,User 55,free,55,2025-12-09
user_56,User 56,free,39,2026-04-14
user_57,User 57,free,94,2025-11-28
user_58,User 58,free,83,2025-12-29
user_59,User 59,free,73,2026-04-14
user_60,User 60,vip,446,2026-01-17
user_61,User 61,free,38,2025-11-15
user_62,User 62,free,43,2026-03-31
user_63,User 63,free,81,2026-02-20
user_64,User 64,free,35,2025-12-11
user_65,User 65,free,71,2025-12-24
user_66,User 66,free,55,2026-04-14
user_67,User 67,free,59,2025-12-15
user_68,User 68,free,69,2026-02-23
user_69,User 69,premium,157,2025-12-16
user_70,User 70,free,64,2025-11-07
user_71,User 71,free,51,2026-02-12
user_72,User 72,premium,190,2026-04-04
user_73,User 73,free,41,2026-02-04
user_74,User 74,free,53,2025-10-27
user_75,User 75,free,81,2026-02-17
user_76,User 76,free,88,2026-01-13
user_77,User 77,free,80,2025-12-09
user_78,User 78,premium,147,2025-11-20
user_79,User 79,free,30,2026-04-11
user_80,User 80,premium,175,2025-11-10
user_81,User 81,premium,143,2026-02-10
user_82,User 82,free,60,2026-02-09
user_83,User 83,free,83,2026-01-07
user_84,User 84,free,95,2025-11-16
user_85,User 85,free,79,2026-01-24
user_86,User 86,premium,159,2026-01-19
user_87,User 87,free,66,2026-03-21
user_88,User 88,vip,427,2026-02-09
user_89,User 89,vip,405,2025-10-28
user_90,User 90,free,95,2025-12-25
user_91,User 91,free,100,2026-01-20
user_92,User 92,premium,160,2026-01-03
user_93,User 93,premium,137,2025-12-05
user_94,User 94,free,68,2026-04-11
user_95,User 95,free,92,2025-11-12
user_96,User 96,premium,148,2026-01-23
user_97,User 97,free,42,2025-12-19
user_98,User 98,free,40,2025-11-18
user_99,User 99,premium,137,2025-11-08
user_100,User 100,premium,195,2026-04-19
user_101,User 101,premium,177,2025-10-26
user_102,User 102,free,51,2026-02-17
user_103,User 103,free,58,2025-11-02
user_104,User 104,free,80,2025-12-24
user_105,User 105,free,88,2026-03-19
user_106,User 106,premium,192,2025-12-04
user_107,User 107,free,32,2025-11-07
user_108,User 108,premium,135,2026-01-04
user_109,User 109,free,41,2026-01-23
user_110,User 110,free,40,2026-03-21
user_111,User 111,premium,139,2026-02-09
user_112,User 112,free,100,2025-11-02
user_113,User 113,free,78,2025-11-07
user_114,User 114,free,95,2026-04-05
user_115,User 115,free,42,2026-01-21
user_116,User 116,free,87,2026-03-10
user_117,User 117,premium,133,2026-04-07
user_118,User 118,vip,447,2025-11-04
user_119,User 119,free,68,2025-11-06
user_120,User 120,free,59,2026-02-04
user_121,User 121,free,88,2025-11-07
user_122,User 122,free,89,2026-03-22
user_123,User 123,premium,174,2025-12-13
user_124,User 124,free,50,2025-11-10
user_125,User 125,free,37,2025-12-11
user_126,User 126,premium,168,2025-12-19
user_127,User 127,free,81,2026-03-29
user_128,User 128,free,78,2026-02-24
user_129,User 129,premium,165,2026-03-14
user_130,User 130,free,84,2026-02-05
user_131,User 131,vip,402,2026-01-25
user_132,User 132,free,99,2025-11-25
user_133,User 133,free,79,2026-02-15
user_134,User 134,free,75,2025-12-23
user_135,User 135,free,99,2026-04-01
user_136,User 136,free,100,2025-11-24
user_137,User 137,free,83,2026-01-28
user_138,User 138,free,61,2026-03-14
user_139,User 139,free,96,2026-04-15
user_140,User 140,premium,157,2026-04-22
user_141,User 141,premium,149,2025-11-22
user_142,User 142,free,63,2025-12-20
user_143,User 143,free,34,2025-11-24
user_144,User 144,free,76,2026-04-05
user_145,User 145,free,36,2026-02-14
